Country,o,c,e,a,n,Count,o_std,c_std,e_std,a_std,n_std
Moldova,0.7517429461942258,0.5255905511811023,0.47912565616797903,0.5853838582677166,0.5744955708661418,1042,0.14684275443982792,0.1846133657209164,0.20819781723752503,0.17180621973084254,0.19220422000092854
Mongolia,0.7323007698709946,0.5398720349563046,0.4854608822305452,0.585479088639201,0.563150228880566,1643,0.14342633101023092,0.16535708985908734,0.1870778937020564,0.15033413162321463,0.1742422903448559
Montenegro,0.7950757575757577,0.520806277056277,0.5110389610389611,0.6061147186147186,0.5826839826839827,787,0.14809988191082915,0.2085269455530045,0.22672380475187723,0.17238193822194797,0.20775718439975108
Morocco,0.7625647428782834,0.5086108028116907,0.46606085830558636,0.624366444691084,0.569066777654458,4577,0.15047368775726594,0.18917782649196416,0.2092672576960589,0.17423915362897532,0.19216072113192637
Mozambique,0.7598443223443223,0.554945054945055,0.48443223443223443,0.6200778388278388,0.5499084249084248,189,0.15152946519641644,0.19216786508189143,0.20314896991293444,0.17317822484420484,0.18938658817693269
Myanmar,0.7199059561128527,0.5272074190177639,0.4529649947753396,0.6064263322884013,0.5909743991640544,1608,0.14412975464213412,0.1758583679058731,0.19086583896337272,0.1453772628006571,0.17238184891736688
Namibia,0.7392194323144105,0.5866994177583696,0.46743085880640467,0.6491084425036391,0.513646288209607,472,0.1577987017935803,0.18781136434556026,0.20417221091015456,0.1719140036052754,0.2076838285587875
Nepal,0.749535365335599,0.537095546587369,0.46977219626168226,0.6442137496459927,0.5810499858397055,4744,0.13389024390946516,0.18296284854456096,0.19854066571856344,0.14469919345454255,0.17374449041788279
Netherlands,0.7504977086620089,0.5439098771692585,0.5292110378634213,0.6280971799639395,0.5112395293366389,36329,0.15281017003355127,0.19599125158092948,0.2218770490758363,0.16263586793208945,0.21330817244094144
New Zealand,0.7300900697650203,0.546584493191258,0.5099173637383869,0.6416957354251269,0.5550354031446323,29588,0.16490496226255258,0.1900701242391033,0.22091397476756702,0.16392587179728338,0.21258179215967718
Nicaragua,0.748203363914373,0.5454128440366972,0.49568042813455654,0.6465978593272171,0.5628440366972477,555,0.15404113423516913,0.18335730624837984,0.20528866389331069,0.17083498207449416,0.19354871775715748
Nigeria,0.7588880054520672,0.6065393255590893,0.4507925690342774,0.6828903528699076,0.5072347165429856,6718,0.1450176259667405,0.19550064362903113,0.19770170666191367,0.16630846218767326,0.20439140239227024
North Macedonia,0.7712243797195254,0.544093851132686,0.513942826321467,0.5947545846817692,0.5620954692556634,1582,0.1515488585321589,0.19331022759691646,0.22672365543987572,0.17938181318067778,0.19876520890139338
Northern Mariana Islands,0.7311827956989247,0.5329301075268817,0.46863799283154123,0.6314964157706093,0.5754928315412187,94,0.1480507058827784,0.1562446430435912,0.17775139478388996,0.1622192650792718,0.19064180299583808
Norway,0.7212389153460875,0.5555780783862934,0.5420592481594,0.6386710731587159,0.5265783657662096,24928,0.16930479426782052,0.1965930855845526,0.22889495115319766,0.16228620361874724,0.22149040462436667
Oman,0.7128932968536251,0.5587380300957593,0.4995012539899681,0.6588577291381669,0.5509718422252622,1482,0.15619742913656048,0.18444359126722537,0.19146748783927675,0.15454796202439705,0.18338801298484197
Pakistan,0.7401985893849246,0.5799726151542614,0.522960255854578,0.6838191352430487,0.5654084085267347,25766,0.1479537558266522,0.18696433998470083,0.2064458790268436,0.1458193629409493,0.1843674853777034
Palau,0.6637658227848101,0.5735759493670886,0.4633438818565401,0.7014767932489451,0.5092299578059072,79,0.15749094741539038,0.16532026415955967,0.16899466507740424,0.15773763047249628,0.18543337685922942
Palestine,0.7214285714285714,0.5598214285714286,0.5047619047619047,0.6382440476190476,0.5757068452380952,563,0.15031589131100884,0.16206265507908016,0.1919924582171571,0.15958339491533244,0.17370614528086278
Palestinian Territory,0.7017355134825014,0.5500932300631096,0.511438611589214,0.6381597819850832,0.5569061962134251,581,0.1589816959241438,0.15669225812035262,0.18118734049384838,0.14055294897628226,0.1741927570730574
Panama,0.7655519372077488,0.5236723446893787,0.47302939211756845,0.6425768203072811,0.5766741816967268,1013,0.14550139948433266,0.19283892246607837,0.22548445072121703,0.15795468351862316,0.20792445151391029
Papua New Guinea,0.7488584474885844,0.5702054794520548,0.4529109589041096,0.6485445205479452,0.5470890410958904,147,0.13810128070639136,0.2032573242529992,0.219745678640953,0.14340681795926402,0.18247668844385115
Paraguay,0.7601109364081062,0.5021619496855346,0.4372379454926625,0.5959993011879805,0.5885962613556953,984,0.15326004912771693,0.19359921518969603,0.22691672814722497,0.17000978169219552,0.19480391294044677
Peru,0.7584846817097781,0.5216990001834526,0.4736344248761695,0.6123188405797101,0.5594902311502477,3716,0.14460022565673644,0.18625586486251872,0.20710504350277517,0.1633468791492661,0.1903720489563815
Philippines,0.7489856058642242,0.5721737977284291,0.4775747189339171,0.6742941244947531,0.5962126285319278,142346,0.1389658762124833,0.18517239995129928,0.19267773524350404,0.1507936024241842,0.18486082670763032
Poland,0.7615713130831213,0.4829263080470738,0.4598400060962681,0.5684852761874469,0.6051970684902459,25782,0.15870178298367835,0.2144217195079498,0.23857409130814206,0.18736323048404366,0.21134582902058574
Portugal,0.7702605111917726,0.5231605414398064,0.4777487900786449,0.624285390199637,0.5788433908045977,11274,0.14662092328749815,0.1862594469458101,0.22520444968319428,0.16563055142667782,0.20411769490626241
Puerto Rico,0.7786159657746222,0.5432368468960495,0.5003413435281268,0.6664163480793737,0.5740146550154742,1890,0.15264976469410632,0.18722505590758182,0.22428116873653756,0.16221260933587997,0.2068587753207241
Qatar,0.7361633480825959,0.5500553097345132,0.5033370206489676,0.6555494100294985,0.5581213126843658,2289,0.14885663934330368,0.1927322086049936,0.20880407194672784,0.1616125153034145,0.19206192180296314
Reunion,0.7474358974358974,0.47628205128205126,0.3689102564102564,0.6041666666666667,0.6051282051282052,83,0.13846272090396103,0.17406577750524163,0.1804115498623022,0.16404183070857942,0.1773676780094312
Romania,0.7604817848674283,0.5362932923762306,0.4852933911762592,0.5917706312423655,0.5797641822950348,19203,0.14597424082671975,0.19219379777024773,0.22520268581433497,0.17449017306316708,0.2027477203641833
Russia,0.753660809371672,0.48290512957046505,0.4713476955389894,0.5425744734350965,0.5691005502307419,11462,0.15479943952906952,0.20212289641206466,0.2172521594649867,0.17147709479554224,0.20476317766661825
Rwanda,0.7449363425925926,0.6061921296296297,0.49710648148148145,0.6649305555555556,0.5107783564814814,289,0.13936406989796227,0.20457290648738669,0.18388174086342052,0.15821332330653934,0.18692207194905083
Saint Lucia,0.7354930191972077,0.587478184991274,0.47785776614310643,0.6905541012216405,0.5427574171029669,195,0.15587592234654518,0.1834631206179156,0.22226060447249904,0.16385996993686816,0.21312192079774805
Saudi Arabia,0.7359839773075744,0.5323137074517019,0.4751322447102116,0.6266482674026372,0.573905627108249,11053,0.1507443714237339,0.18792590763678016,0.2081177160746413,0.1589528659863425,0.19147414803893184
Senegal,0.7680386178861789,0.5278201219512195,0.5273119918699187,0.6582825203252032,0.4991107723577236,165,0.14597977584193156,0.19252770494845287,0.22618517529374282,0.16726820624799218,0.19584707411867278
Serbia,0.7854830836694193,0.5290874463862749,0.5237740861660585,0.5930638243390308,0.5543199058959094,10611,0.14787357820583538,0.20404074366764904,0.22920699554059643,0.17257363141725204,0.21142247373725886
Seychelles,0.7608447488584474,0.6070205479452054,0.523972602739726,0.678082191780822,0.5547945205479452,73,0.1704259762212389,0.18305281136285168,0.20281080974052387,0.13326464412178932,0.2033402482896509
Singapore,0.7161996755916341,0.550814010853478,0.4882074942817419,0.6415852842684368,0.5493452033905907,45496,0.15767799179384784,0.1947879545454472,0.21572857740312743,0.15682205687490067,0.2143540802902905
Slovakia,0.7626243781094527,0.5292910447761194,0.4846795434591747,0.6081467661691543,0.5619146912496341,5815,0.15093840767426575,0.20228822478506892,0.2298661340129088,0.1774201934722784,0.21184322094939778
Slovenia,0.7533107795512375,0.5275054938699977,0.4858749710848948,0.5971041522091141,0.5668806384455239,2943,0.15515907188266617,0.19803200882491273,0.2340851267032697,0.1757458313090903,0.21209527796842761
